Date,Open,High,Low,Close,Volume
2018-07-23,2541.58,2567.52,2504.42,2533.8,1742558
2018-07-24,2546.76,2563.18,2518.26,2521.71,1430011
2018-07-25,2494.92,2554.53,2494.92,2545.03,1025816
2018-07-26,2566.65,2577.89,2542.45,2545.91,1048382
2018-07-27,2545.03,2548.5,2500.95,2511.34,1701595
2018-07-30,2519.98,2562.32,2519.98,2556.27,1362549
2018-07-31,2575.29,2588.25,2538.99,2541.58,1423994
2018-08-01,2571.83,2596.89,2551.09,2585.66,1635405
2018-08-02,2557.15,2564.05,2514.79,2523.43,1220913
2018-08-03,2539.85,2549.36,2532.93,2541.58,936717
2018-08-06,2548.5,2565.77,2532.08,2551.94,988326
2018-08-07,2557.15,2583.92,2546.76,2577.89,1122785
2018-08-08,2591.7,2601.2,2537.25,2555.41,1821129
2018-08-09,2419.73,2503.56,2411.1,2437.01,4655923
2018-08-10,2461.21,2479.36,2431.83,2437.88,2273343
2018-08-13,2419.73,2430.09,2376.51,2385.15,1758643
2018-08-14,2408.49,2432.71,2383.42,2430.96,1405365
2018-08-15,2405.04,2433.55,2376.51,2385.15,1812797
2018-08-16,2354.9,2405.89,2340.23,2389.49,2333748
2018-08-17,2412.82,2442.2,2406.76,2428.38,1249148
2018-08-20,2427.5,2439.61,2416.27,2437.01,790568
2018-08-21,2427.5,2456.9,2408.49,2439.61,1212235
2018-08-22,2431.83,2460.35,2416.27,2457.76,1202399
2018-08-23,2445.65,2446.51,2389.49,2391.21,1381874
2018-08-24,2398.99,2415.4,2385.15,2406.76,962290
2018-08-27,2404.17,2451.7,2401.59,2445.65,951065
2018-08-28,2486.28,2496.64,2465.52,2470.72,1202167
2018-08-29,2467.26,2500.95,2465.52,2482.82,1168493
2018-08-30,2502.7,2508.73,2474.17,2474.17,1283515
2018-08-31,2452.57,2455.15,2424.05,2434.41,1327024
2018-09-03,2434.41,2435.29,2393.82,2411.1,1077542
2018-09-04,2411.1,2414.54,2386.88,2386.88,996426
2018-09-05,2372.2,2377.38,2351.45,2364.42,1552669
2018-09-06,2347.14,2394.66,2347.14,2382.57,1582523
2018-09-07,2368.75,2372.2,2339.37,2361.84,1292771
2018-09-10,2367.88,2378.26,2356.65,2367.88,1119547
2018-09-11,2363.56,2366.15,2335.9,2350.6,1160739
2018-09-12,2354.06,2358.38,2312.57,2322.93,1308510
2018-09-13,2341.09,2386.04,2329.0,2370.48,1266158
2018-09-14,2398.99,2437.88,2372.2,2431.83,2335830
2018-09-18,2419.73,2457.76,2401.59,2452.57,2174059
2018-09-19,2513.06,2543.32,2501.83,2529.48,2228562
2018-09-20,2547.64,2561.45,2533.8,2544.16,1788612
2018-09-21,2564.91,2653.06,2560.59,2644.41,3304021
2018-09-25,2644.41,2657.39,2596.89,2627.14,1653687
2018-09-26,2627.14,2661.7,2605.53,2657.39,1212465
2018-09-27,2653.06,2735.17,2622.81,2704.91,2035550
2018-09-28,2735.17,2778.37,2726.51,2752.44,2699292
2018-10-01,2739.47,2748.13,2696.27,2717.87,1577085
2018-10-02,2717.87,2761.09,2704.91,2717.87,1560422
2018-10-03,2683.31,2717.87,2657.39,2687.64,1422489
2018-10-04,2739.47,2765.41,2704.91,2713.57,2136222
2018-10-05,2696.27,2722.18,2674.66,2696.27,1792547
2018-10-09,2657.39,2657.39,2592.56,2605.53,1964614
2018-10-10,2614.17,2631.45,2564.05,2564.91,1769404
2018-10-11,2456.03,2495.78,2455.15,2473.31,2439858
2018-10-12,2461.21,2473.31,2450.84,2464.68,3191430
2018-10-15,2446.51,2462.07,2429.25,2437.01,1462873
2018-10-16,2404.17,2437.88,2403.31,2437.88,2812694
2018-10-17,2459.49,2461.21,2413.68,2426.64,2003959
2018-10-18,2438.74,2456.9,2418.01,2424.05,1308161
2018-10-19,2376.51,2381.71,2341.95,2344.54,1969591
2018-10-22,2341.09,2364.42,2325.54,2355.78,915424
2018-10-23,2333.32,2350.6,2299.61,2300.46,1680419
2018-10-24,2334.17,2334.17,2301.34,2311.7,1563778
2018-10-25,2237.38,2246.9,2204.55,2212.34,2357815
2018-10-26,2220.11,2239.13,2188.13,2213.18,1843693
2018-10-29,2213.18,2253.81,2199.37,2200.23,1323205
2018-10-30,2214.05,2263.32,2204.55,2243.43,1820433
2018-10-31,2264.17,2332.45,2259.85,2316.89,2833406
2018-11-01,1971.22,2069.75,1961.72,1978.99,7214275
2018-11-02,1987.63,2001.47,1918.5,1978.99,4380636
2018-11-05,1947.89,1975.54,1927.14,1970.35,2234349
2018-11-06,2001.47,2024.79,1990.23,2005.78,2201602
2018-11-07,1994.56,2061.97,1985.04,1997.14,2513337
2018-11-08,2056.77,2056.77,1988.49,1993.69,2230644
2018-11-09,2013.55,2036.9,1998.0,2004.92,1676021
2018-11-12,1988.49,2016.16,1978.13,2016.16,1064003
2018-11-13,1996.27,2003.19,1963.44,1993.69,2338607
2018-11-14,2002.33,2041.22,1998.0,2032.57,1689446
2018-11-15,2006.65,2013.55,1977.27,1978.99,2177647
2018-11-16,1998.86,2016.16,1966.89,1974.67,2495171
2018-11-19,1953.07,1983.32,1945.3,1983.32,1238501
2018-11-20,1925.4,1937.52,1888.26,1937.52,2821372
2018-11-21,1908.13,1956.52,1896.89,1952.2,1663871
2018-11-22,1956.52,1969.5,1940.97,1956.52,1068748
2018-11-26,1961.72,1975.54,1942.7,1970.35,1376088
2018-11-27,1975.54,1987.63,1965.16,1983.32,1702288
2018-11-28,1981.58,1991.1,1944.42,1961.72,1742095
2018-11-29,1988.49,2021.34,1977.27,2007.51,2026987
2018-11-30,2023.07,2032.57,2004.92,2017.88,3453874
2018-12-03,2057.64,2069.75,2043.8,2051.58,1610989
2018-12-04,2065.41,2065.41,1998.0,1998.0,2139230
2018-12-05,1959.12,1971.22,1938.37,1955.66,1734457
2018-12-06,1946.14,1952.2,1911.59,1934.06,1743136
2018-12-07,1948.74,1961.72,1936.64,1953.94,1508699
2018-12-10,1910.73,1953.07,1902.94,1943.56,1724969
2018-12-11,1932.33,1932.33,1874.41,1883.07,2089474
2018-12-12,1907.27,1988.49,1905.53,1961.72,3111471
2018-12-13,1982.45,2055.04,1978.99,2053.32,2825885
2018-12-14,2041.22,2053.32,1990.23,1992.82,3046439
2018-12-17,2004.92,2050.72,2004.05,2008.37,1725201
2018-12-18,1977.27,2001.47,1958.25,1965.16,1944134
2018-12-19,1981.58,2020.47,1971.22,1975.54,1864405
2018-12-20,1944.42,1947.89,1875.29,1885.65,2520859
2018-12-21,1858.87,1901.22,1857.14,1862.33,3247783
2018-12-25,1781.95,1792.33,1743.07,1752.59,3055579
2018-12-26,1752.59,1803.83,1741.97,1775.55,2541977
2018-12-27,1847.14,1899.29,1831.24,1888.68,2601493
2018-12-28,1873.67,1921.39,1864.82,1908.12,1574678
2019-01-04,1841.84,1862.16,1810.91,1862.16,1705135
2019-01-07,1923.14,1948.78,1909.89,1918.73,1693030
2019-01-08,1939.05,1953.2,1926.68,1938.18,1727426
2019-01-09,1957.63,1974.42,1946.12,1962.92,1683864
2019-01-10,1948.78,1958.5,1911.67,1927.56,1540280
2019-01-11,1946.12,1969.11,1941.7,1961.16,1815455
2019-01-15,1933.77,1974.42,1926.68,1969.99,1569812
2019-01-16,1962.03,1968.22,1947.01,1956.74,1485970
2019-01-17,1969.11,1993.85,1948.78,1962.03,1108622
2019-01-18,1977.06,2016.84,1976.18,2012.41,1417854
2019-01-21,2050.41,2066.32,2038.93,2051.3,1563814
2019-01-22,2084.89,2091.95,2032.74,2045.11,1722676
2019-01-23,2028.32,2066.32,2013.31,2053.07,1506789
2019-01-24,2032.74,2054.85,2017.71,2053.07,1234780
2019-01-25,2068.09,2080.47,2061.03,2070.73,1214867
2019-01-28,2091.07,2114.05,2067.21,2070.73,1197104
2019-01-29,2052.18,2066.32,2028.32,2063.67,1090518
2019-01-30,2060.13,2068.97,2016.84,2016.84,1900994
2019-01-31,2074.29,2084.89,2046.88,2055.72,1646073
2019-02-01,2062.79,2079.57,2039.81,2048.65,1170627
2019-02-04,2064.56,2090.19,2048.65,2075.17,1298823
2019-02-05,2101.68,2104.33,2078.71,2085.77,962888
2019-02-06,2103.44,2113.17,2089.3,2107.86,1200045
2019-02-07,2090.19,2091.95,2047.77,2068.09,1200950
2019-02-08,2027.42,2038.05,1983.25,1985.9,2016632
2019-02-12,2005.34,2091.07,2000.93,2076.93,1934148
2019-02-13,2045.11,2049.54,1969.11,1970.87,4624461
2019-02-14,1977.06,2007.99,1957.63,1963.8,2541863
2019-02-15,1943.48,1947.9,1880.72,1897.52,2642226
2019-02-18,1941.7,1977.95,1929.32,1971.76,1605001
2019-02-19,1970.87,2007.11,1957.63,1985.9,1603642
2019-02-20,1983.25,2014.18,1977.95,1985.01,1486987
2019-02-21,1975.29,1980.6,1948.78,1972.64,1643017
2019-02-22,1962.03,1993.85,1950.55,1990.32,1445576
2019-02-25,2000.04,2054.85,1998.27,2053.07,2707397
2019-02-26,2082.24,2099.03,2051.3,2057.49,2305384
2019-02-27,2050.41,2067.21,2027.42,2030.96,2985063
2019-02-28,2025.67,2027.42,1992.97,1994.74,1488459
2019-03-01,2003.57,2010.64,1969.11,1977.95,1675493
2019-03-04,1986.78,2010.64,1962.03,2010.64,1590969
2019-03-05,1988.55,2013.31,1984.14,1998.27,1593571
2019-03-06,1979.71,1992.97,1954.08,1963.8,1949309
2019-03-07,1947.01,1947.01,1924.91,1942.59,1574678
2019-03-08,1933.77,1934.64,1882.49,1884.26,2472958
2019-03-11,1893.11,1901.93,1871.0,1891.33,1203779
2019-03-12,1893.99,1933.77,1892.23,1911.67,1991175
2019-03-13,1897.52,1901.93,1872.77,1883.38,1887304
2019-03-14,1902.83,1911.67,1868.35,1868.35,1926114
2019-03-15,1888.68,1901.93,1881.62,1891.33,1925888
2019-03-18,1911.67,1932.87,1906.36,1929.32,1630910
2019-03-19,1928.45,1942.59,1919.62,1925.8,1295881
2019-03-20,1936.41,1942.59,1920.49,1926.68,976465
